x,y,z
1.217115000000000000e+06,1.092810000000000000e+06,1.580000000000000000e+05
1.219770000000000000e+06,1.097820000000000000e+06,1.576500000000000000e+05
1.221810000000000000e+06,1.102200000000000000e+06,1.580500000000000000e+05
1.224900000000000000e+06,1.107360000000000000e+06,1.616000000000000000e+05
1.226205000000000000e+06,1.111080000000000000e+06,1.637500000000000000e+05
1.228065000000000000e+06,1.112265000000000000e+06,1.637000000000000000e+05
1.232790000000000000e+06,1.116945000000000000e+06,1.665000000000000000e+05
1.235475000000000000e+06,1.120230000000000000e+06,1.686500000000000000e+05
1.236480000000000000e+06,1.121550000000000000e+06,1.695500000000000000e+05
1.238325000000000000e+06,1.125015000000000000e+06,1.702500000000000000e+05
1.241550000000000000e+06,1.130415000000000000e+06,1.731000000000000000e+05
1.243710000000000000e+06,1.136055000000000000e+06,1.715500000000000000e+05
1.244820000000000000e+06,1.140180000000000000e+06,1.721500000000000000e+05
1.247640000000000000e+06,1.145190000000000000e+06,1.727000000000000000e+05
1.250100000000000000e+06,1.151040000000000000e+06,1.717000000000000000e+05
1.252755000000000000e+06,1.155270000000000000e+06,1.743500000000000000e+05
1.254210000000000000e+06,1.158090000000000000e+06,1.759500000000000000e+05
1.256190000000000000e+06,1.161105000000000000e+06,1.765500000000000000e+05
1.259460000000000000e+06,1.165620000000000000e+06,1.775000000000000000e+05
1.261800000000000000e+06,1.169220000000000000e+06,1.781000000000000000e+05
1.265550000000000000e+06,1.175325000000000000e+06,1.789000000000000000e+05
1.268295000000000000e+06,1.179420000000000000e+06,1.807500000000000000e+05
1.269360000000000000e+06,1.181760000000000000e+06,1.816500000000000000e+05
1.271985000000000000e+06,1.184880000000000000e+06,1.845500000000000000e+05
1.274760000000000000e+06,1.188615000000000000e+06,1.868000000000000000e+05
1.280550000000000000e+06,1.194750000000000000e+06,1.843000000000000000e+05
1.282545000000000000e+06,1.195815000000000000e+06,1.804500000000000000e+05
1.282545000000000000e+06,1.197765000000000000e+06,1.809500000000000000e+05
1.286295000000000000e+06,1.198185000000000000e+06,1.809000000000000000e+05
1.288440000000000000e+06,1.204200000000000000e+06,1.792000000000000000e+05
1.290240000000000000e+06,1.206555000000000000e+06,1.761500000000000000e+05
1.291575000000000000e+06,1.208490000000000000e+06,1.729500000000000000e+05
1.293525000000000000e+06,1.211370000000000000e+06,1.682000000000000000e+05
1.293825000000000000e+06,1.211520000000000000e+06,1.665000000000000000e+05
1.291290000000000000e+06,1.215285000000000000e+06,1.594000000000000000e+05
1.290225000000000000e+06,1.218180000000000000e+06,1.571000000000000000e+05
1.290090000000000000e+06,1.219215000000000000e+06,1.568000000000000000e+05
1.288875000000000000e+06,1.223115000000000000e+06,1.557500000000000000e+05
1.286235000000000000e+06,1.227765000000000000e+06,1.520500000000000000e+05
1.284015000000000000e+06,1.231515000000000000e+06,1.473000000000000000e+05
1.282560000000000000e+06,1.233195000000000000e+06,1.437000000000000000e+05
1.281735000000000000e+06,1.233795000000000000e+06,1.422000000000000000e+05
1.280310000000000000e+06,1.235145000000000000e+06,1.391000000000000000e+05
1.278240000000000000e+06,1.237545000000000000e+06,1.350000000000000000e+05
1.275525000000000000e+06,1.240830000000000000e+06,1.304500000000000000e+05
1.274280000000000000e+06,1.241610000000000000e+06,1.276000000000000000e+05
1.273890000000000000e+06,1.242240000000000000e+06,1.260000000000000000e+05
1.275420000000000000e+06,1.242555000000000000e+06,1.252000000000000000e+05
