id,created,superceded_id,valid,size,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position,ctr_pt_position,post_pt_to_soma_distance_nm,post_pt_location,post_pt_label,pre_pt_to_soma_distance_nm,pre_pt_location,pre_pt_label
48448825,2025-08-13 15:56:02.393871+00:00,,t,358,80088908339555998,720575941088061251,80088908339527741,720575941086890090,[147744. 163446.   2082.],[147760. 163438.   2076.],[147754. 163454.   2079.],83131.5188670744,B1B2B3D4B5B6A7A8,dendrite,,,
48113708,2025-08-13 15:56:02.393871+00:00,,t,609,80088495888441044,720575941115171785,80088495888461900,720575941086890090,[147464. 157130.   1825.],[147478. 157166.   1828.],[147482. 157154.   1825.],51316.482584785794,B1A2C3B4A5,dendrite,,,
46294954,2025-08-13 15:56:02.393871+00:00,,t,399,79877664667897739,720575941140325253,79877664667884062,720575941086890090,[144998. 160876.   2026.],[144986. 160918.   2022.],[144994. 160900.   2023.],62734.88598375277,B1B2B3B4A5,dendrite,,,
45311231,2025-08-13 15:56:02.393871+00:00,,t,648,79877321137763141,720575941163780556,79877321137766623,720575941086890090,[144588. 155944.   2211.],[144548. 155946.   2209.],[144576. 155956.   2209.],45709.35615669064,B1A2A3B4,dendrite,,,
48136055,2025-08-13 15:56:02.393871+00:00,,t,892,80088221010423341,720575941017604110,80088221010366043,720575941086890090,[147856. 152422.   1767.],[147826. 152402.   1764.],[147850. 152404.   1762.],61612.906271573076,A1A2A3B4,dendrite,,,
52958635,2025-08-13 15:56:02.393871+00:00,,t,23,80440271157875978,720575941100684382,80440271157886116,720575941086890090,[152884. 155624.   2248.],[152920. 155640.   2246.],[152910. 155648.   2248.],104387.57142024497,A1A2B3,dendrite,,,
49303382,2025-08-13 15:56:02.393871+00:00,,t,74,80160032729421063,720575941127879624,80089663985241377,720575941086890090,[148492. 174832.   1535.],[148464. 174838.   1530.],[148478. 174838.   1531.],156042.02682897137,B1B2B3D4B5B6A7D8B9A10A11B12B13,dendrite,,,
53258637,2025-08-13 15:56:02.393871+00:00,,t,66,80441026938327518,720575941146264133,80441026938309376,720575941086890090,[153148. 167368.   2078.],[153126. 167392.   2074.],[153136. 167372.   2074.],126932.86266973105,B1B2B3D4B5B6A7D8A9A10,dendrite,,,
46413724,2025-08-13 15:56:02.393871+00:00,,t,34,79878008332386822,720575941146702725,79878008332408711,720575941086890090,[145104. 166332.   2159.],[145110. 166348.   2166.],[145106. 166360.   2161.],94139.47183305278,B1B2B3D4B5B6B7,dendrite,,,
49272391,2025-08-13 15:56:02.393871+00:00,,t,419,80159621016421304,720575941114546672,80159621016438728,720575941086890090,[148604. 168524.   2656.],[148594. 168552.   2662.],[148606. 168524.   2662.],136249.77911799107,B1B2B3B4A5,dendrite,,,
48486644,2025-08-13 15:56:02.393871+00:00,,t,799,80089801424109724,720575941076498233,80089801424105328,720575941086890090,[148190. 176002.   1519.],[148214. 176000.   1524.],[148202. 176000.   1526.],164596.221976693,B1B2B3D4B5B6A7D8B9A10A11B12B13,dendrite,,,
47314064,2025-08-13 15:56:02.393871+00:00,,t,395,80018815144360003,720575941084598651,80018815144377064,720575941086890090,[146534. 166898.   3363.],[146542. 166928.   3369.],[146542. 166906.   3367.],160893.52752528424,B1B2B3D4B5B6A7D8A9B10,dendrite,,,
48217627,2025-08-13 15:56:02.393871+00:00,,t,48,80088220943454326,720575941149765535,80088220943457803,720575941086890090,[147910. 152338.   1694.],[147876. 152342.   1694.],[147888. 152344.   1693.],60069.19012412475,A1A2A3B4,dendrite,,,
48216205,2025-08-13 15:56:02.393871+00:00,,t,55,80018402961451563,720575941142110597,80018402961426468,720575941086890090,[147454. 160522.   3538.],[147454. 160540.   3530.],[147448. 160534.   3533.],121613.32497530541,B1A2C3A4,dendrite,,,
46292063,2025-08-13 15:56:02.393871+00:00,,t,58,79948308289701216,720575941140516741,79948308223296169,720575941086890090,[145706. 164828.   1988.],[145700. 164810.   1983.],[145702. 164808.   1986.],78346.96992264339,B1B2B3D4B5B6B7,dendrite,,,
61852095,2025-08-13 15:56:02.393871+00:00,,t,494,81145332922320881,720575941033111883,81145332922309430,720575941086890090,[163516. 176554.   2151.],[163502. 176508.   2147.],[163532. 176536.   2149.],244869.63607478893,B1B2B3D4B5B6A7D8A9A10B11B12A13,dendrite,,,
54086387,2025-08-13 15:56:02.393871+00:00,,t,507,80582177213391296,720575941074494097,80582177213373786,720575941086890090,[154674. 172874.   3005.],[154686. 172882.   2999.],[154706. 172868.   3002.],205430.93029828565,B1B2B3D4B5B6A7D8A9A10A11B12B13,dendrite,,,
42444170,2025-08-13 15:56:02.393871+00:00,,t,320,79595777173053470,720575941100977648,79595777173017186,720575941086890090,[141094. 154426.   1653.],[141104. 154448.   1646.],[141106. 154436.   1649.],42034.9421944971,A1B2,dendrite,,,
48236627,2025-08-13 15:56:02.393871+00:00,,t,320,80018677235363411,720575941144754757,80018677235378925,720575941086890090,[147236. 165272.   2377.],[147232. 165302.   2382.],[147250. 165282.   2380.],102693.85817378746,B1B2B3B4A5,dendrite,,,
47424151,2025-08-13 15:56:02.393871+00:00,,t,343,79947620759604925,720575941132649161,79947620759622055,720575941086890090,[146002. 154652.   1436.],[145994. 154678.   1437.],[146014. 154688.   1434.],35635.06870189077,A1A2A3A4,dendrite,,,
57907811,2025-08-13 15:56:02.393871+00:00,,t,359,80793145604020251,720575941121402824,80793145604001331,720575941086890090,[158642. 171624.   2138.],[158660. 171634.   2133.],[158666. 171622.   2136.],189532.5795778369,B1B2B3D4B5B6A7D8A9A10B11B12A13,dendrite,,,
46295281,2025-08-13 15:56:02.393871+00:00,,t,367,79948033412126245,720575941145569157,79948033412129241,720575941086890090,[145568. 160932.   2049.],[145558. 160978.   2050.],[145566. 160962.   2049.],63326.539887772116,B1B2B3B4A5,dendrite,,,
59762417,2025-08-13 15:56:02.393871+00:00,,t,421,81004182848947905,720575941093645992,81004182848927814,720575941086890090,[160974. 170074.   1706.],[160996. 170034.   1706.],[160992. 170052.   1706.],200168.92706988126,B1B2B3D4B5B6A7D8A9A10B11A12B13,dendrite,,,
46233488,2025-08-13 15:56:02.393871+00:00,,t,437,79877320734695934,720575941083138627,79877320734703394,720575941086890090,[144826. 156168.   1353.],[144820. 156194.   1359.],[144830. 156168.   1356.],18967.396494582055,A1A2,dendrite,,,
53258747,2025-08-13 15:56:02.393871+00:00,,t,592,80441026938192220,720575941070642577,80441026938192279,720575941086890090,[153272. 167508.   2038.],[153320. 167498.   2037.],[153306. 167512.   2037.],129778.22888092171,B1B2B3D4B5B6A7D8A9A10,dendrite,,,
45497646,2025-08-13 15:56:02.393871+00:00,,t,136,79807639655460830,720575941103198111,79807639655455252,720575941086890090,[144134. 166220.   2325.],[144086. 166250.   2325.],[144112. 166238.   2325.],102452.22459019178,B1B2B3B4B5,dendrite,,,
47256832,2025-08-13 15:56:02.393871+00:00,,t,707,80018470540198377,720575941099342557,80018470540211219,720575941086890090,[146658. 162058.   1445.],[146652. 162066.   1452.],[146682. 162086.   1449.],61700.94489089369,B1B2B3D4B5A6,dendrite,,,
